Flow #1
Flow info:,28776.0,187.0,0.0,62.333333333333336,107.96450033846003,5755.0,9381.97268247618,21860.0,11.0,6905.0,3452.5394439697266,4373.494176278452,6545.0,360.0,22479.0,11239.52865600586,15879.583819752523,22468.0,11.0,0.0,104.25379676042918,187.0,55.666666666666664,87.16115342666518,7597.066666666667,1.0,1.0,1.0,1.0,0.0,79.66666666666667,62.333333333333336,65535.0,64240.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #2
Flow info:,2435.0,0.0,0.0,0.0,0.0,2435.0,0.0,2435.0,2435.0,2435.0,2434.968948364258,0.0,2435.0,2435.0,0.0,0.0,0.0,0.0,0.0,0.0,821.3657103691373,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,255.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #3
Flow info:,315889.0,1250.0,0.0,612.1111111111111,598.5433243392755,21059.0,69983.79504137447,273502.0,1.0,27650.0,4608.313242594401,4585.405449831545,11792.0,235.0,307759.0,38469.88081932068,95231.65388466892,273502.0,1.0,0.0,22.159690973286217,1250.0,391.1875,521.9711637948338,272453.8958333333,1.0,1.0,1.0,1.0,0.0,412.6875,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #4
Flow info:,574.0,0.0,0.0,0.0,0.0,574.0,0.0,574.0,574.0,574.0,574.1119384765625,0.0,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,3483.641196013289,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #5
Flow info:,318745.0,1250.0,0.0,612.1111111111111,598.5433243392755,21250.0,70775.35497399601,276608.0,1.0,32664.0,5443.970362345378,7912.143826788701,19185.0,140.0,308008.0,38500.99444389343,96354.53313282473,276608.0,1.0,0.0,21.96113584055208,1250.0,391.1875,521.9711637948338,272453.8958333333,1.0,1.0,1.0,1.0,0.0,412.6875,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #6
Flow info:,994.0,0.0,0.0,0.0,0.0,994.0,0.0,994.0,994.0,994.0,993.9670562744141,0.0,994.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.1391220916287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #7
Flow info:,306736.0,1250.0,0.0,612.1111111111111,598.5433243392755,20449.0,70943.98422808088,276579.0,1.0,23987.0,3997.84247080485,5389.251930805039,12421.0,230.0,297741.0,37217.61703491211,96811.3324989932,276579.0,1.0,0.0,22.820928005571517,1250.0,391.125,522.0016443141407,272485.7166666667,1.0,1.0,1.0,1.0,0.0,412.625,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #8
Flow info:,43.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,43.0,43.0,43.15376281738281,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,46345.900552486186,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #9
Flow info:,303279.0,1250.0,0.0,612.1111111111111,598.5433243392755,20219.0,68525.97453053558,267417.0,1.0,21921.0,3653.4865697224936,4729.389992405601,10373.0,141.0,293133.0,36641.62755012512,93425.2965819257,267417.0,1.0,0.0,23.08106323366173,1250.0,391.125,522.0016443141407,272485.7166666667,1.0,1.0,1.0,1.0,0.0,412.625,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #10
Flow info:,284.0,0.0,0.0,0.0,0.0,284.0,0.0,284.0,284.0,284.0,283.95652770996094,0.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,7043.331654072208,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #11
Flow info:,308826.0,1250.0,0.0,612.1111111111111,598.5433243392755,20588.0,70189.73519016796,273784.0,1.0,20054.0,3342.310587565104,4354.590381441259,9713.0,112.0,301041.0,37630.14078140259,95626.22008064899,273784.0,1.0,0.0,22.666487558962718,1250.0,391.125,522.0016443141407,272485.7166666667,1.0,1.0,1.0,1.0,0.0,412.625,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #12
Flow info:,944.0,0.0,0.0,0.0,0.0,944.0,0.0,944.0,944.0,944.0,943.8991546630859,0.0,944.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.870421823693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #13
Flow info:,323149.0,1250.0,0.0,612.1111111111111,598.5433243392755,21543.0,72115.17950526677,281840.0,2.0,34375.0,5729.198455810547,6346.5545806854625,15516.0,122.0,313831.0,39228.856563568115,98256.23889750225,281840.0,2.0,0.0,21.66183630481376,1250.0,391.125,522.0016443141407,272485.7166666667,1.0,1.0,1.0,1.0,0.0,412.625,612.1111111111111,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #14
Flow info:,354.0,0.0,0.0,0.0,0.0,354.0,0.0,354.0,354.0,354.0,354.0515899658203,0.0,354.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,5648.894276094276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #15
